DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;;;;;;;;
Casos Prováveis por Município infecção e Mês 1º Sintoma(s);;;;;;;;;;;;;
Período:2014;;;;;;;;;;;;;
Município infecção;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
110002 Ariquemes;-;-;-;-;1;-;-;-;-;-;-;-;1
110008 Costa Marques;-;-;-;-;-;-;-;-;-;-;-;1;1
110012 Ji-Paraná;2;-;-;-;-;-;-;-;-;-;-;-;2
110014 Nova Brasilândia D'Oeste;-;-;-;-;1;-;-;-;-;-;-;-;1
110020 Porto Velho;-;-;1;-;-;-;1;-;-;-;-;-;2
130260 Manaus;1;1;-;2;-;-;2;-;-;-;-;-;6
150060 Altamira;-;-;-;-;-;-;-;-;-;-;1;-;1
150140 Belém;-;-;1;2;-;1;-;-;-;-;1;-;5
150240 Castanhal;-;-;-;-;-;1;-;-;-;-;-;-;1
150543 Ourilândia do Norte;-;-;-;-;-;-;1;-;-;-;-;-;1
150810 Tucuruí;-;1;-;-;-;-;-;-;-;-;-;-;1
160027 Laranjal do Jari;-;-;-;-;-;1;-;-;-;-;-;-;1
170100 Ananás;-;1;-;-;-;-;-;-;-;-;-;-;1
170200 Araguaçu;-;-;-;-;-;-;-;-;-;-;-;1;1
171665 Pequizeiro;-;-;-;-;-;-;1;-;-;-;-;-;1
210660 Matões;-;1;-;-;-;-;-;-;-;-;-;-;1
211130 São Luís;-;-;-;-;-;-;1;-;-;-;-;-;1
211220 Timon;-;-;-;-;-;-;-;-;-;1;-;-;1
211290 Vitória do Mearim;-;-;1;-;-;-;-;-;-;-;-;-;1
220025 Alagoinha do Piauí;-;-;-;-;-;-;1;-;-;-;-;-;1
220100 Arraial;-;-;1;-;-;-;-;-;-;-;-;-;1
220110 Avelino Lopes;-;-;-;-;-;1;-;-;-;-;-;-;1
220277 Colônia do Piauí;-;-;-;1;-;-;3;-;-;-;-;-;4
220370 Esperantina;-;-;-;1;-;-;-;-;-;-;-;-;1
220580 Luzilândia;1;-;-;-;-;-;1;-;-;-;-;-;2
220595 Marcolândia;-;-;-;-;1;-;-;-;-;-;-;-;1
220610 Matias Olímpio;-;-;-;-;-;-;-;-;1;-;-;-;1
220800 Picos;-;-;-;-;-;-;1;-;-;-;-;-;1
220840 Piripiri;1;-;-;-;-;-;-;-;-;-;-;-;1
221100 Teresina;-;-;-;1;-;2;2;1;-;-;-;-;6
230070 Alto Santo;1;-;-;-;-;-;-;-;-;-;-;-;1
230130 Araripe;-;-;1;-;1;-;1;-;-;-;-;-;3
230150 Arneiroz;-;-;-;-;-;1;-;-;-;-;-;-;1
230240 Boa Viagem;-;-;-;1;-;-;-;-;-;-;-;-;1
230250 Brejo Santo;-;-;1;-;-;-;-;-;-;-;-;-;1
230260 Camocim;-;-;1;-;-;-;-;-;-;-;-;-;1
230270 Campos Sales;3;-;-;1;1;-;-;-;-;-;-;-;5
230440 Fortaleza;3;2;1;3;3;2;1;-;1;1;-;-;17
230540 Icó;-;-;-;1;-;-;-;-;-;-;-;-;1
230630 Itapagé;-;-;-;-;-;-;-;-;-;-;1;-;1
230640 Itapipoca;-;-;1;-;-;-;-;-;-;-;-;-;1
230660 Itatira;-;-;-;-;1;-;-;-;-;-;-;-;1
230725 Jijoca de Jericoacoara;-;-;-;-;-;-;-;-;1;-;-;-;1
230730 Juazeiro do Norte;-;-;1;-;-;-;3;-;-;-;-;-;4
230760 Limoeiro do Norte;-;-;-;-;-;-;-;1;-;-;-;-;1
231290 Sobral;-;-;-;-;1;-;-;-;-;-;-;-;1
231330 Tauá;1;2;-;-;-;-;1;-;-;-;-;-;4
230000 Município ignorado - CE;1;-;-;-;-;-;-;-;-;-;-;-;1
240040 Água Nova;-;1;-;-;-;-;-;-;-;-;-;-;1
240570 Jardim do Seridó;-;-;-;-;-;-;-;-;-;-;-;1;1
240710 Macaíba;-;-;-;-;-;-;-;-;1;-;-;-;1
240730 Marcelino Vieira;-;-;1;-;-;-;-;-;-;-;-;-;1
240810 Natal;1;-;5;3;3;-;-;-;-;-;-;-;12
240940 Pau dos Ferros;1;-;-;-;-;-;-;-;-;-;-;-;1
241050 Rafael Fernandes;-;1;-;-;-;-;-;-;-;-;-;-;1
241250 São Miguel;1;-;-;-;-;-;-;-;-;-;-;-;1
241410 Tenente Ananias;-;1;-;-;-;-;-;-;-;-;-;-;1
241480 Vera Cruz;-;1;-;-;-;-;-;-;-;-;-;-;1
250215 Boa Vista;-;-;-;-;1;-;-;-;-;-;-;-;1
250370 Cajazeiras;-;-;-;1;-;-;-;-;-;1;-;-;2
250400 Campina Grande;-;-;1;-;-;-;-;-;-;-;-;-;1
250750 João Pessoa;-;1;-;1;-;-;1;-;-;-;-;-;3
250970 Monteiro;1;-;1;-;-;1;-;-;-;-;-;-;3
251000 Nazarezinho;-;1;1;-;-;-;-;-;-;-;-;-;2
251070 Passagem;1;-;-;-;-;-;-;-;-;-;-;-;1
250070 São João do Rio do Peixe;1;-;-;-;-;-;-;-;-;-;-;-;1
260410 Caruaru;3;-;-;1;-;-;-;-;-;-;-;-;4
260530 Exu;-;-;-;-;-;-;1;-;-;-;-;-;1
260660 Ibimirim;1;-;-;1;-;-;-;-;-;-;-;1;3
260720 Ipojuca;-;-;-;1;-;-;-;-;-;-;-;-;1
260860 Lagoa do Ouro;-;-;-;-;-;1;-;-;-;-;-;-;1
261010 Palmeirina;-;1;-;-;-;-;-;-;-;-;-;-;1
261080 Pedra;-;-;1;-;-;-;-;-;-;-;-;-;1
261110 Petrolina;-;-;1;-;-;-;1;-;-;-;-;-;2
261160 Recife;-;1;3;-;1;-;1;2;1;-;-;-;9
261390 Serra Talhada;-;-;-;-;-;-;1;-;-;-;-;-;1
261450 Surubim;-;-;1;-;-;-;-;-;-;-;-;-;1
261460 Tabira;-;-;-;-;-;1;-;-;-;-;-;-;1
261540 Toritama;-;-;-;-;-;-;-;-;1;-;-;-;1
270030 Arapiraca;-;-;-;-;-;-;-;1;-;-;-;-;1
270040 Atalaia;-;-;-;-;-;1;-;-;-;-;-;-;1
270170 Capela;-;-;-;-;-;-;-;-;-;-;1;-;1
270235 Craíbas;1;-;-;-;-;-;-;-;-;-;-;-;1
270430 Maceió;-;1;2;1;3;-;1;-;-;-;-;-;8
270610 Ouro Branco;1;-;-;-;-;-;-;-;-;-;-;-;1
270630 Palmeira dos Índios;1;-;1;-;-;-;-;-;-;-;-;-;2
270910 Taquarana;-;-;-;-;-;-;1;-;-;-;-;-;1
270915 Teotônio Vilela;-;-;-;-;-;-;-;1;-;-;-;-;1
270000 Município ignorado - AL;-;-;1;-;-;-;-;-;-;-;-;-;1
280020 Aquidabã;-;-;-;-;-;-;-;1;-;-;-;-;1
280030 Aracaju;-;-;1;-;1;-;1;-;-;-;-;-;3
280300 Itabaianinha;-;-;-;1;-;-;2;-;-;-;-;-;3
280480 Nossa Senhora do Socorro;-;-;-;-;-;-;1;-;-;-;-;-;1
280680 São Domingos;-;-;-;-;-;-;-;-;-;-;-;1;1
290250 Baianópolis;-;-;-;1;-;-;-;-;-;-;-;-;1
290390 Bom Jesus da Lapa;-;-;-;-;-;-;-;1;-;-;-;-;1
290560 Camacan;-;1;-;-;-;-;-;-;-;-;-;-;1
290680 Cansanção;1;-;1;-;-;-;-;-;-;-;-;-;2
291080 Feira de Santana;-;-;1;1;-;-;-;-;-;-;-;-;2
291360 Ilhéus;1;-;-;-;-;-;-;-;-;-;-;-;1
291370 Inhambupe;-;-;-;-;-;1;-;-;-;-;-;-;1
291480 Itabuna;-;1;-;2;-;-;-;-;-;-;-;-;3
291535 Itaguaçu da Bahia;-;-;-;-;1;-;-;-;-;-;-;-;1
291640 Itapetinga;-;1;-;-;-;-;-;-;-;-;-;-;1
