DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;;;;;;;;
Casos Prováveis por Município infecção e Mês 1º Sintoma(s);;;;;;;;;;;;;
Período:2017;;;;;;;;;;;;;
Município infecção;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
130260 Manaus;-;-;-;-;-;-;-;-;-;-;1;-;1
150140 Belém;-;-;-;-;-;-;-;1;-;-;-;-;1
171270 Mateiros;-;-;-;-;-;-;-;-;-;1;-;-;1
211150 São Mateus do Maranhão;1;-;-;-;-;-;-;-;-;-;-;-;1
230440 Fortaleza;-;-;1;1;1;-;1;-;-;-;-;-;4
230540 Icó;-;-;-;-;1;-;-;-;-;-;-;-;1
230730 Juazeiro do Norte;-;-;-;1;-;-;-;-;-;-;-;-;1
230830 Milagres;-;-;-;-;-;-;2;-;-;-;-;-;2
231050 Pedra Branca;-;-;-;-;-;1;-;-;-;-;-;-;1
250400 Campina Grande;-;-;-;-;-;-;1;1;-;-;-;-;2
250690 Itabaiana;-;-;1;-;-;-;-;-;-;-;-;-;1
250750 João Pessoa;-;-;-;-;-;-;-;-;-;-;-;1;1
251620 Sousa;-;-;-;-;-;-;-;-;-;-;-;1;1
260010 Afogados da Ingazeira;-;-;-;-;-;-;1;-;-;-;-;-;1
260170 Belo Jardim;-;-;1;1;-;1;-;1;-;-;-;-;4
260310 Cachoeirinha;-;-;-;-;-;-;-;-;-;-;1;-;1
260650 Iati;2;-;-;-;-;-;-;-;-;-;-;-;2
260670 Ibirajuba;-;-;-;-;-;1;-;-;-;-;-;-;1
260750 Itaíba;-;-;-;-;-;-;1;-;-;-;-;-;1
260880 Lajedo;-;-;-;-;-;-;1;1;1;-;-;-;3
261020 Panelas;-;-;-;1;-;-;-;-;-;-;-;-;1
261090 Pesqueira;-;-;-;-;-;-;2;-;-;1;-;-;3
261160 Recife;-;-;-;-;-;-;-;-;1;-;-;-;1
261220 Salgueiro;-;-;1;-;-;-;-;-;-;-;-;-;1
261450 Surubim;-;-;-;-;-;-;-;-;-;-;1;-;1
280190 Cumbe;-;1;-;-;-;-;-;-;-;-;-;-;1
290420 Botuporã;-;-;-;1;-;-;-;-;-;-;-;-;1
290670 Cândido Sales;-;-;1;-;-;-;-;-;-;-;-;-;1
291210 Ibicaraí;-;-;-;-;-;-;-;-;-;-;-;1;1
291560 Itamaraju;1;-;-;-;-;-;-;-;-;-;-;-;1
291800 Jequié;1;-;-;-;-;-;-;-;-;-;-;-;1
292530 Porto Seguro;-;-;-;-;-;-;1;-;-;-;-;-;1
292550 Prado;-;-;-;1;-;-;-;-;-;-;-;-;1
292740 Salvador;-;-;-;1;-;-;-;-;-;-;-;-;1
310260 Andradas;-;-;-;-;-;-;-;-;-;-;1;-;1
310450 Arinos;1;-;-;-;-;-;-;-;-;-;-;-;1
310620 Belo Horizonte;-;-;-;1;-;-;-;-;-;-;-;-;1
310860 Brasília de Minas;1;-;1;-;-;-;-;-;-;-;-;-;2
311050 Camanducaia;-;1;-;-;-;-;-;-;-;-;-;-;1
311260 Capinópolis;-;-;1;-;-;-;-;-;-;-;-;-;1
311280 Capitólio;-;1;-;-;-;-;-;-;-;-;-;-;1
312080 Cruzília;-;-;-;1;-;-;-;-;-;-;-;-;1
312700 Fronteira;1;-;-;-;-;-;-;-;-;-;-;-;1
312710 Frutal;-;-;1;-;-;-;-;-;-;-;-;-;1
312770 Governador Valadares;-;-;1;-;-;-;-;-;-;-;-;-;1
313190 Itabirito;-;-;1;-;-;-;-;-;-;-;-;-;1
313240 Itajubá;-;-;-;-;1;-;-;-;-;-;-;-;1
313340 Itapagipe;1;-;-;-;-;-;-;-;-;-;-;-;1
313420 Ituiutaba;-;-;-;-;1;-;-;-;-;-;-;-;1
313490 Jacutinga;-;-;-;-;-;-;-;-;-;1;-;-;1
313520 Januária;-;-;1;-;-;-;-;-;-;-;-;-;1
314530 Novo Cruzeiro;1;-;-;-;-;-;-;-;-;-;-;-;1
314700 Paracatu;-;-;1;-;-;-;-;-;-;-;-;-;1
314730 Paraisópolis;-;-;-;2;-;-;-;-;-;-;-;-;2
314870 Pedra Azul;1;-;-;-;-;-;-;-;-;-;-;-;1
315120 Pirapora;-;1;1;-;-;-;-;-;-;-;-;-;2
315250 Pouso Alegre;-;-;-;-;-;-;-;-;-;-;1;-;1
315290 Pratápolis;-;-;-;-;1;-;-;-;-;-;-;-;1
316110 São Francisco;1;-;-;-;-;-;-;-;-;-;-;-;1
316210 São Gotardo;1;-;-;-;-;-;-;-;-;-;-;-;1
316250 São João del Rei;-;-;-;-;-;-;-;-;-;1;-;-;1
316930 Três Corações;-;-;4;-;-;-;-;-;-;-;-;-;4
316970 Turmalina;-;1;-;-;-;-;-;-;-;-;-;-;1
320530 Vitória;1;-;-;-;-;-;-;-;-;-;-;-;1
330411 Porto Real;1;-;-;-;-;-;-;-;-;-;-;-;1
330455 Rio de Janeiro;2;3;-;1;1;-;-;-;-;-;-;-;7
350010 Adamantina;-;1;-;-;1;-;-;2;3;1;-;-;8
350030 Aguaí;-;1;-;-;1;-;1;-;-;1;-;2;6
350040 Águas da Prata;-;-;-;-;-;-;-;-;-;-;1;-;1
350060 Águas de São Pedro;-;-;1;-;-;-;-;-;-;-;-;-;1
350070 Agudos;-;-;-;1;-;-;-;-;-;1;-;-;2
350090 Altair;-;-;-;-;1;1;-;-;-;-;-;-;2
350100 Altinópolis;-;-;-;-;-;-;-;-;1;-;-;-;1
350110 Alto Alegre;-;1;-;-;-;-;-;-;-;-;-;-;1
350140 Álvaro de Carvalho;-;-;-;-;-;-;-;-;-;-;-;2;2
350160 Americana;2;2;1;-;3;1;-;-;4;1;2;1;17
350170 Américo Brasiliense;-;3;1;2;1;-;-;1;-;1;-;-;9
350180 Américo de Campos;-;-;-;2;-;-;-;-;-;-;-;-;2
350190 Amparo;2;-;-;-;-;-;-;-;-;3;1;3;9
350210 Andradina;2;4;2;1;-;2;1;-;2;5;-;3;22
350220 Angatuba;-;-;-;-;-;-;-;-;-;-;1;1;2
350250 Aparecida;1;-;-;-;1;-;-;-;-;4;1;1;8
350280 Araçatuba;5;6;12;10;18;1;2;1;5;4;10;8;82
350290 Araçoiaba da Serra;-;-;-;-;-;-;-;-;-;-;-;2;2
350320 Araraquara;7;4;4;3;4;2;4;8;13;32;23;5;109
350330 Araras;1;-;2;8;3;1;1;-;3;1;5;1;26
350340 Arealva;-;-;-;1;-;-;-;-;-;-;-;-;1
350360 Areiópolis;-;-;-;-;-;-;-;-;-;-;1;-;1
350370 Ariranha;-;-;-;-;-;-;-;1;-;-;-;-;1
350380 Artur Nogueira;-;-;-;-;-;-;-;-;-;1;-;-;1
350390 Arujá;-;1;1;4;-;1;-;1;1;-;-;-;9
350400 Assis;-;1;-;2;-;-;-;2;6;5;2;2;20
350410 Atibaia;-;4;5;-;-;-;-;-;3;2;-;9;23
350420 Auriflama;-;-;-;-;-;1;-;1;1;-;-;-;3
350440 Avanhandava;-;-;-;-;-;-;-;-;-;1;1;1;3
350450 Avaré;-;-;-;-;-;-;-;-;1;1;-;-;2
350460 Bady Bassitt;1;-;3;-;-;-;-;-;-;1;-;-;5
350480 Bálsamo;1;1;-;-;-;1;-;-;-;-;-;1;4
350510 Barbosa;-;-;-;-;-;-;-;-;-;2;-;1;3
350520 Bariri;-;1;3;1;2;-;-;-;-;-;-;-;7
350550 Barretos;1;1;1;-;1;3;-;-;4;2;-;1;14
350560 Barrinha;-;-;-;-;-;-;-;-;-;1;-;-;1
350570 Barueri;-;1;-;-;-;-;-;-;-;-;-;-;1
350580 Bastos;-;-;-;-;1;-;-;-;-;2;2;-;5
350590 Batatais;-;-;-;-;1;-;-;1;1;-;1;1;5
350600 Bauru;10;20;9;2;1;1;1;-;1;3;19;10;77
350610 Bebedouro;1;-;-;1;-;-;-;-;2;2;2;-;8
350635 Bertioga;2;-;-;-;-;1;-;-;2;2;3;-;10
350640 Bilac;1;1;-;1;-;-;-;-;-;-;-;-;3
350650 Birigui;2;10;5;13;2;3;4;11;12;13;3;5;83
350660 Biritiba-Mirim;-;-;1;-;-;-;-;-;-;-;1;-;2
350700 Boituva;-;-;2;-;-;-;-;-;-;-;-;-;2
350730 Boracéia;-;2;-;-;-;-;-;-;-;-;-;-;2
350740 Borborema;-;-;-;-;-;-;-;-;-;1;-;-;1
350750 Botucatu;1;-;1;2;-;-;-;-;-;-;2;-;6
350760 Bragança Paulista;-;-;-;-;-;-;-;-;-;-;1;2;3
350770 Braúna;-;-;-;-;-;-;-;-;-;1;-;-;1
350790 Brotas;-;-;-;-;-;-;-;-;1;-;3;-;4
350810 Buritama;1;1;1;1;-;-;-;-;-;1;2;1;8
350830 Cabrália Paulista;-;-;-;-;-;-;-;-;-;-;1;-;1
350840 Cabreúva;-;-;-;-;-;-;-;-;-;-;1;1;2
350850 Caçapava;5;2;4;1;2;-;-;1;-;1;-;-;16
350860 Cachoeira Paulista;6;-;-;-;-;-;-;-;2;-;-;-;8
350900 Caieiras;-;1;-;-;-;-;-;-;-;-;-;-;1
350910 Caiuá;-;-;-;1;1;-;-;-;-;-;-;-;2
