DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;;;;;
Casos Prováveis por Município infecção e Class. Final;;;;;;;;;;
Período:2015;;;;;;;;;;
Município infecção;Ign/Branco;Dengue Clássico;Dengue com complicações;Febre Hemorrágica do Dengue;Síndrome do Choque do Dengue;Dengue;Dengue com sinais de alarme;Dengue grave;Inconclusivo;Total
110015 Ouro Preto do Oeste;-;-;-;-;-;1;-;-;-;1
110020 Porto Velho;-;-;-;-;-;4;-;-;-;4
110032 São Miguel do Guaporé;-;-;-;-;-;1;-;-;-;1
130260 Manaus;-;-;-;-;-;1;-;-;-;1
150140 Belém;-;-;-;-;-;2;-;-;-;2
150635 Santa Bárbara do Pará;-;-;-;-;-;1;-;-;-;1
150812 Ulianópolis;-;-;-;-;-;1;-;-;-;1
170070 Alvorada;-;-;-;-;-;2;-;-;-;2
170290 Axixá do Tocantins;-;-;-;-;-;1;-;-;-;1
172100 Palmas;-;-;-;-;-;2;-;-;-;2
210040 Altamira do Maranhão;-;-;-;-;-;1;-;-;-;1
210250 Cajari;-;-;-;-;-;1;-;-;-;1
210780 Parnarama;-;-;-;-;-;1;-;-;-;1
210955 Ribamar Fiquene;-;-;-;-;-;1;-;-;-;1
211130 São Luís;-;-;-;-;-;2;-;-;-;2
211140 São Luís Gonzaga do Maranhão;-;-;-;-;-;1;-;-;-;1
211220 Timon;-;-;-;-;-;1;-;-;-;1
220115 Baixa Grande do Ribeiro;-;-;-;-;-;1;-;-;-;1
220525 Jardim do Mulato;-;-;-;-;-;1;-;-;-;1
220700 Oeiras;-;-;-;-;-;1;-;-;-;1
221060 São Raimundo Nonato;-;-;-;-;-;1;-;-;-;1
221100 Teresina;-;-;-;-;-;3;-;-;-;3
230030 Acopiara;-;-;-;-;-;1;-;-;-;1
230060 Altaneira;-;-;-;-;-;1;-;-;-;1
230190 Barbalha;-;-;-;-;-;1;-;-;-;1
230410 Crateús;-;-;-;-;-;1;-;-;-;1
230440 Fortaleza;-;-;-;-;-;20;-;-;-;20
230460 General Sampaio;-;-;-;-;-;1;-;-;-;1
230550 Iguatu;-;-;-;-;-;2;-;-;-;2
230580 Ipu;-;-;-;-;-;1;-;-;-;1
230640 Itapipoca;-;-;-;-;-;1;-;-;-;1
230730 Juazeiro do Norte;-;-;-;-;-;2;-;-;-;2
230765 Maracanaú;-;-;-;-;-;1;-;-;-;1
230810 Mauriti;-;-;-;-;-;1;-;-;-;1
230900 Mucambo;-;-;-;-;-;1;-;-;-;1
231126 Quiterianópolis;-;-;-;-;-;1;-;-;-;1
231140 Quixeramobim;-;-;-;-;-;1;-;-;-;1
231290 Sobral;-;-;-;-;-;1;-;-;-;1
231350 Trairi;-;-;-;-;-;2;-;-;-;2
231410 Viçosa do Ceará;-;-;-;-;-;2;-;-;-;2
240570 Jardim do Seridó;-;-;-;-;-;1;-;-;-;1
240650 Lagoa Nova;-;-;-;-;-;1;-;-;-;1
240810 Natal;-;-;-;-;-;10;-;-;-;10
250010 Água Branca;-;-;-;-;-;1;-;-;-;1
250370 Cajazeiras;-;-;-;-;-;1;-;-;-;1
250660 Ibiara;-;-;-;-;-;-;1;-;-;1
250700 Itaporanga;-;-;-;-;-;1;-;-;-;1
250750 João Pessoa;-;-;-;-;-;10;-;-;1;11
250900 Manaíra;-;-;-;-;-;1;-;-;-;1
251080 Patos;-;-;-;-;-;1;-;-;-;1
251130 Piancó;-;-;-;-;-;2;-;-;-;2
251450 São José de Piranhas;-;-;-;-;-;1;-;-;-;1
251540 São Vicente do Seridó;-;-;-;-;-;1;-;-;-;1
251550 Serra Branca;-;-;-;-;-;2;-;-;-;2
251620 Sousa;-;-;-;-;-;1;-;-;-;1
260050 Águas Belas;-;-;-;-;-;1;-;-;-;1
260120 Arcoverde;-;-;-;-;-;1;-;-;-;1
260170 Belo Jardim;-;-;-;-;-;2;-;-;-;2
260220 Bom Jardim;-;-;-;-;-;1;-;-;-;1
260410 Caruaru;-;-;-;-;-;6;-;-;-;6
260430 Cedro;-;-;-;-;-;1;-;-;-;1
260510 Custódia;-;-;-;-;-;1;-;-;-;1
260530 Exu;-;-;-;-;-;1;-;-;-;1
260540 Feira Nova;-;-;-;-;-;1;-;-;-;1
260545 Fernando de Noronha;-;-;-;-;-;1;-;-;-;1
260600 Garanhuns;-;-;-;-;-;1;-;-;-;1
260620 Goiana;-;1;-;-;-;-;-;-;-;1
260720 Ipojuca;-;-;-;-;-;3;-;-;-;3
260770 Itapetim;-;-;-;-;-;1;-;-;-;1
260810 João Alfredo;-;-;-;-;-;1;-;-;-;1
260880 Lajedo;-;-;-;-;-;-;1;-;-;1
260960 Olinda;-;-;-;-;-;1;-;-;-;1
261090 Pesqueira;-;-;-;-;-;3;-;-;-;3
261160 Recife;-;1;-;-;-;21;-;-;-;22
261240 Sanharó;-;-;-;-;-;1;-;-;-;1
261300 São Bento do Una;-;-;-;-;-;2;-;-;-;2
261460 Tabira;-;-;-;-;-;1;-;-;-;1
261540 Toritama;-;-;-;-;-;1;-;-;-;1
261600 Venturosa;-;-;-;-;-;2;-;-;-;2
261620 Vertentes;-;-;-;-;-;1;-;-;-;1
261640 Vitória de Santo Antão;-;-;-;-;-;1;-;-;-;1
270030 Arapiraca;-;-;-;-;-;8;1;-;-;9
270320 Igreja Nova;-;-;-;-;-;1;-;-;-;1
270330 Inhapi;-;-;-;-;-;1;-;-;-;1
270430 Maceió;-;1;-;-;-;14;1;-;-;16
270440 Major Isidoro;-;-;-;-;-;1;-;-;-;1
270630 Palmeira dos Índios;-;-;-;-;-;2;-;-;-;2
270800 Santana do Ipanema;-;-;-;-;-;1;-;-;-;1
270860 São Miguel dos Campos;-;-;-;-;-;1;-;-;-;1
270880 São Sebastião;-;-;-;-;-;1;-;-;-;1
270930 União dos Palmares;-;-;-;-;-;1;-;-;-;1
280030 Aracaju;-;1;-;-;-;2;-;-;-;3
280290 Itabaiana;-;-;-;-;-;1;-;-;-;1
280300 Itabaianinha;-;-;-;-;-;1;-;-;-;1
280350 Lagarto;-;-;-;-;-;1;-;-;-;1
280460 Nossa Senhora das Dores;-;-;-;-;-;1;-;-;-;1
290070 Alagoinhas;-;-;-;-;-;1;-;-;-;1
290190 Aporá;-;-;-;-;-;1;-;-;-;1
290320 Barreiras;-;-;-;-;-;1;-;-;-;1
290410 Boquira;-;-;-;-;-;2;-;-;-;2
290420 Botuporã;-;-;-;-;-;1;-;-;-;1
290460 Brumado;-;-;-;-;-;1;-;-;-;1
290470 Buerarema;-;-;-;-;-;2;-;-;-;2
290520 Caetité;-;-;-;-;-;1;-;-;-;1
290540 Cairu;-;-;-;-;-;1;-;-;-;1
290980 Cruz das Almas;-;-;-;-;-;1;-;-;-;1
291060 Esplanada;-;-;-;-;-;-;-;-;1;1
291070 Euclides da Cunha;-;-;-;-;-;3;-;-;-;3
291080 Feira de Santana;-;-;-;-;-;7;-;-;-;7
291185 Heliópolis;-;-;-;-;-;1;-;-;-;1
291360 Ilhéus;-;-;-;-;-;6;-;-;-;6
291400 Ipirá;-;-;-;-;-;5;-;-;-;5
291470 Itaberaba;-;-;-;-;-;2;-;-;-;2
291480 Itabuna;-;-;-;-;-;1;-;-;-;1
291535 Itaguaçu da Bahia;-;-;-;-;-;1;-;-;-;1
291570 Itamari;-;-;-;-;-;1;-;-;-;1
291680 Itarantim;-;-;-;-;-;1;-;-;-;1
291800 Jequié;-;-;-;-;-;1;2;-;-;3
291980 Macaúbas;-;-;-;-;-;6;-;-;-;6
292130 Milagres;-;1;-;-;-;-;-;-;-;1
292150 Monte Santo;-;-;-;-;-;3;-;-;-;3
292340 Palmas de Monte Alto;-;-;-;-;-;1;-;-;-;1
292360 Paramirim;-;-;-;-;-;2;-;-;-;2
292450 Pindaí;-;-;-;-;-;1;-;-;-;1
292530 Porto Seguro;-;-;-;-;-;8;-;-;-;8
292690 Rio do Pires;-;-;-;-;-;2;-;-;-;2
292740 Salvador;-;-;-;-;-;22;-;-;-;22
293015 Serra do Ramalho;-;-;-;-;-;2;-;-;-;2
293135 Teixeira de Freitas;-;-;-;-;-;2;-;-;-;2
293230 Ubatã;-;-;-;-;-;1;-;-;-;1
293330 Vitória da Conquista;-;-;-;-;-;1;-;-;-;1
293360 Xique-Xique;-;-;-;-;-;2;-;-;-;2
310150 Além Paraíba;-;-;-;-;-;1;-;-;-;1
310160 Alfenas;-;-;-;-;-;4;-;-;-;4
310260 Andradas;-;-;-;-;-;2;-;-;-;2
310375 Araporã;-;-;-;-;-;1;-;-;-;1
310400 Araxá;-;-;-;-;-;1;-;-;-;1
310420 Arcos;-;1;-;-;-;1;-;-;-;2
310430 Areado;-;-;-;-;-;-;1;-;-;1
310490 Baependi;-;-;-;-;-;1;-;-;-;1
310560 Barbacena;-;-;-;-;-;1;-;-;-;1
310620 Belo Horizonte;-;-;-;-;-;18;2;-;-;20
310650 Berilo;-;1;-;-;-;-;-;-;-;1
310670 Betim;-;-;-;-;-;3;-;-;-;3
310710 Boa Esperança;-;-;-;-;-;1;-;-;-;1
310890 Brazópolis;-;-;-;-;-;1;-;-;-;1
310910 Bueno Brandão;-;-;-;-;-;1;-;-;-;1
310970 Cachoeira de Minas;-;1;-;-;-;-;-;-;-;1
311050 Camanducaia;-;-;-;-;-;2;-;-;-;2
311060 Cambuí;-;-;-;-;-;3;-;-;-;3
311070 Cambuquira;-;-;-;-;-;9;-;-;-;9
311130 Campo do Meio;-;-;-;-;-;1;-;-;-;1
311200 Candeias;-;-;-;-;-;1;-;-;-;1
311240 Capetinga;-;-;-;-;-;-;1;-;-;1
311400 Carmo da Mata;-;1;-;-;-;-;-;-;-;1
